,id,sequence,sitzung,speaker,speaker_cleaned,speaker_fp,speaker_key,speaker_party,text,top,top_id,type,wahlperiode
533,118505,533,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Ich zitiere aus der Bundestagsdrucksache 17/11323 - sie ist aus der letzten Legislaturperiode -, die den Titel trägt: „Keine Modernisierung der US-Nuklearwaffen in Europa und Deutschland - Abrüstungschancen nicht ungenutzt lassen“. Die antragstellende Fraktion fordert darin die Bundesregierung auf, „deutlich klarzustellen, dass die Bundesregierung gegen die Stationierung modernisierter B61 in Deutschland und Europa ist“ und „auf eine Modernisierung, Anpassung und Lebensdauerverlängerung des deutschen Trägersystems für substrategische Nuklearwaffen zu verzichten und hierfür auch keine Haushaltsmittel einzuplanen“.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
534,118506,534,126,Niels Annen [SPD],Niels Annen,niels-annen,621.0,spd,Guter Antrag!,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
535,118507,535,126,Sylvia Kotting-Uhl [BÜNDNIS 90/DIE GRÜNEN],Sylvia Kotting-Uhl,sylvia-kotting-uhl,332.0,gruene,Wer hat’s erfunden?,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
536,118508,536,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Sie denken wahrscheinlich, dieser Antrag stamme von den Grünen oder den Linken; aber er stammt aus der Feder der SPD. Als Antragsteller wird oben namentlich genannt der aktuelle Außenminister Frank-Walter Steinmeier.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
537,118509,537,126,Niels Annen [SPD],Niels Annen,niels-annen,621.0,spd,Guter Mann!,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
538,118510,538,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Liebe Kolleginnen und Kollegen von der SPD, ich kann Sie nur an das erinnern, was Sie vor nicht allzu langer Zeit gefordert haben. Jetzt, wo Sie Regierungsverantwortung tragen und den Außenminister stellen, haben Sie die Gelegenheit, es in die Realität umzusetzen. Stoppen Sie diesen finanziellen und sicherheitspolitischen Irrsinn!",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
539,118511,539,126,,,,,,Beifall beim BÜNDNIS 90/DIE GRÜNEN sowie des Abg. Alexander Ulrich [DIE LINKE],TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
540,118512,540,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Meine Damen und Herren, die Bundesregierung betont immer auf dem internationalen Parkett, dass sie sich für eine Welt frei von Atomwaffen einsetzt und die nukleare Abrüstung voranbringen will. Das predigen Sie auf der einen Seite; auf der anderen Seite aber lassen Sie de facto die Aufrüstung dieser Massenvernichtungswaffen im eigenen Land zu. Das ist völlig unglaubwürdig.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
541,118513,541,126,,,,,,Beifall beim BÜNDNIS 90/DIE GRÜNEN,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
542,118514,542,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Ich sage Ihnen, was ich ebenso inakzeptabel finde: Wenn wir die Bundesregierung zu diesen Plänen befragen, versteckt sie sich seit Jahren hinter der Geheimhaltung im Rahmen der NATO. Ich muss Ihnen sagen: Man kann, wenn man denn möchte, die entsprechenden Informationen aus den USA nutzen. Man kann die Dokumente der dortigen Regierung lesen, die dortigen Plenardebatten mitverfolgen und nachlesen und sich in Blogs und Zeitschriften die Meinungen der dortigen Experten anschauen. Da steht alles drin. Ich finde, die Bundesregierung ist an dieser Stelle in der Pflicht, die Fragen der Parlamentarierinnen und Parlamentarier zu beantworten und hier auch gegenüber der Öffentlichkeit und den Medien Transparenz herzustellen.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
