"id","wahlperiode","sitzung","title","description","detail","number","title_clean","week","year","category","duration","held_on","sequence","name","session_identifier"
13579,18,250,"TOP 24 Förderung der Gesundheitsprävention",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",22,"Förderung der Gesundheitsprävention","TOP 24"
13580,18,250,"TOP 25 Übergangslücke Arbeitslosengeld Rente",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",23,"Übergangslücke Arbeitslosengeld Rente","TOP 25"
13581,18,250,"TOP 26 Steuerehrlichkeit bei internationalen Sachverhalten",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",24,"Steuerehrlichkeit bei internationalen Sachverhalten","TOP 26"
13582,18,250,"TOP 27 Finanzielle Absicherung von Künstlern",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",25,"Finanzielle Absicherung von Künstlern","TOP 27"
13583,18,250,"TOP 28 Änderung des Handelsgesetzbuches",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",26,"Änderung des Handelsgesetzbuches","TOP 28"
13584,18,250,"TOP 31 Bildungspolitik",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",27,"Bildungspolitik","TOP 31"
13585,18,250,"TOP 30 Aufarbeitung der SED-Diktatur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",28,"Aufarbeitung der SED-Diktatur","TOP 30"
13586,18,250,"TOP 38 Arbeitsbedingungen in der Wissenschaft",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",29,"Arbeitsbedingungen in der Wissenschaft","TOP 38"
13587,18,250,"TOP 32, ZP 14 Bericht 2012 zur Nachhaltigkeitsstrategie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",30,"Bericht 2012 zur Nachhaltigkeitsstrategie","TOP 32, ZP 14"
13588,18,250,"TOP 33 Handwerkskammern",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",31,"Handwerkskammern","TOP 33"
